address,balance
PtTDUHythfRfXHh63yzyiGDid4TZj2P76Zd,2094123518695
PtguxBoV5apR1Jwjizh8NLm9sAQauFZ49aM,1754729336578
PtZatdG8f84sCz3U8iJundFR1hYmX7Rix9s,1365492257798
PtYcYxrG2RDuk2hvFvAumxmyiRbS1oijhGe,891638827559
Pti524gBW7K51LVdHbTxswhmMqGD9dteSFa,685657076657
ptJEVxQJ9spxa2Hp9vWxiEf3EhAWvQ1hCaS,681453742874
PtUsjy3LGdgFN1BZ4dWc9nuBVAyBdpNSixh,651476158502
PtXfpPWZodvNAZ1XNvMCrQNJXaLJ54rA4xT,645610136320
PtkTS1TQrcEW3k7k4VisdJK8KrbfTMJdsmT,536623434297
PtnvkXEJiZ1w5muCpz7z4ENTfFjvcY84DB5,513254864013
PtZqQcrMcsRq9krzaTuJf5bNPs1TWSkHaan,505383790724
PtZY7HCLj7zHVe3puoLyoEntRdEztSvjVP6,433551120020
PtmLGWSez1vXrFw3izospm8oafAVMf9wZ8w,283288552681
Ptn5wVNiUX1a1Qh2mz4aKVBHv25WkoPCJef,261203100886
PtkSkTV9FiPsqQEqHguzAaiA2Gr9R4V1Dv3,259041011619
Ptnb4Vo65mJRNH5ZsXUHqtuGVPXsnQAzUKq,197731913726
PtXnAUhZXKavokC5ZVX6SzLo9YHY1vR21LN,192332890684
PtZrArHa68fxUdeWuouzRZVwvM1HZpyHFwe,187059718798
Ptez2T2J8SkWVA3GV76Aqyec5gsNRNN977H,122649952714
PtcgbMrp1RgEN2p4nSwBfMn9fJxtcjhnXMC,122649939085
PtpPss7GB2VMQ1KxUBZoqxfsQpfzgke6yx6,112819759881
Ptj6cE5L8tYruRMiYQgkaDDc6hnhiRkpcMt,109074614571
PtWs3KnvwCHN29jCenShPxjEWdGBGae6arD,109027850740
PtUhqXvLGNBkPZv2YVk9HWHyMXYpfVFC1xZ,93905605419
PtpwZGevPR6dx7V1hrJZqh8sxM3u1kPLorJ,93328061575
Ptbc4MrWRKyQkzaQmUgwizu8VGwV7JecX3T,82594133693
PtdHdKp9e9RvbEFmbNMdbnsyHH8Pn7QszHK,81774449144
PtTuagujidbRTaugrFp2K27C9F976AimQXA,81700767031
PtVBXszDkyULSPh8DHnfduJcL1LHekTD7HN,80467996721
PtoQDUzpCUa99BAcVF3bASXyfesUWpGoQPv,75576287566
Ptc8ma4yBrQbSiKruvUtXucvByF54gA3gKf,73169873472
Ptha6WYbx1dH5JiFyLiApUbwRTziFoVLnGo,72884329002
PtY7BnW7rtoCtSNt2MygTe8aPk4L3g1gUCE,72085482586
PtaxQvawEeY1d3kpqqEqrRCDW6YQYmfEg23,65093011860
Ptr922nHTKLNeSEq6dsXn3yboHM1MRAwE7w,59967930620
PtVJGUi5qp4nWWeseQaAQNLBd9qax9ZxndM,59967929372
PtVs23NXrni5xDXRJR63Ws8qs2r1hgp71p2,59967929372
PtfQ81LziZ9uJhkygGXwbK7D1wBfnXZToWi,59967929372
PtT6TLzHvf9FKeCXg1RT5ATM9xSCjkKgmP8,59967929372
PtnuHVMve1bWmC7bQPXkJQHbJw8nUdVhgHr,55237703962
PtVvg5DrnqZpXSWKaATBCqsA3Cssnwb2REv,54758588211
PtWoKrAa8QDtt4eyvUPDeF5cddZSY9Bzteg,54625571069
PtWmAXNJrzXTxnet5swsVupVqyHTvJfSEns,54338709949
PtY47aBjoSgbA4qPLiREvjWSnVjuxJXqCjD,47691644819
Pto2aTi2U2Uqn3NkNB87gJGMJG4apjQkfUe,43686001769
PtZ3Hggwaqrfrx32zrhrwbZQ6QZ9nWQHxQx,37033902998
PtnmCjfD5QioCd2XgCawbxVnMKAuHmUaEtn,35943599492
PtgT8owhir1zYunYHYCJsBcPy1FFGbFUpFr,34506850232
PtiAPxWiH4MWeZJiTgPS3LYpRD78bUyPCTb,33711741727
Ptaa4kdqBGUPq8UbsYZTp4PRQmcDoTtrTXj,32810992635
PtdRnzyEy3nLV6ipHWqy6RVLsjvPqyfHDyj,32686337649
PtpFGu4z18uS7ZR11RNxsyogWidCdt3WLbV,32616284204
PtahWC9oGZ1Xy2AQDAYZQrJf6sn23HPdcPT,32616273301
